"Evol.Strain","Temperature","Well.Replicate","Growth.rate"
"5-3",12,"2",0.421739395086551
"5-3",12,"3",0.314252860465915
"5-3",12,"4",0.337134900710548
"5-3",20,"1",0.974022066556551
"5-3",20,"2",0.568283563764815
"5-3",20,"3",0.742468650791975
"5-3",20,"4",0.837061976023565
"5-3",25,"1",0.649518558692503
"5-3",25,"2",0.666184278050039
"5-3",25,"3",0.726473438399593
"5-3",25,"4",0.728152762740563
"5-3",29,"1",0.63604546051577
"5-3",29,"2",0.851066682868615
"5-3",29,"3",0.747593163875569
"5-3",29,"4",0.863015876227789
"5-3",31,"1",0.773885863301385
"5-3",31,"2",0.791844670030815
"5-3",31,"3",0.806016727932778
"5-3",31,"4",0.641856792279131
"5-3",32,"1",0.675577728001409
"5-3",32,"2",0.789646167356411
"5-3",32,"3",0.633046206200888
"5-3",32,"4",0.623149536428136
"5-4",12,"1",0.248790453725555
"5-4",12,"2",0.343614476998453
"5-4",12,"3",0.399385273409251
"5-4",12,"4",0.377744481078652
"5-4",20,"1",0.836599404444728
"5-4",20,"2",0.781975948263258
"5-4",20,"3",0.822275738375965
"5-4",20,"4",0.671398449387658
"5-4",25,"1",0.817156207701479
"5-4",25,"2",0.771643856213079
"5-4",25,"3",0.69187949061615
"5-4",25,"4",0.76768109464078
"5-4",29,"1",0.695581361911501
"5-4",29,"2",0.821276413151256
"5-4",29,"3",0.765902885119481
"5-4",29,"4",0.838517412405046
"5-4",31,"1",0.710325579641141
"5-4",31,"2",0.836371794731752
"5-4",31,"3",0.815472940742999
"5-4",31,"4",0.839026909385408
"5-4",32,"1",0.672856907602446
"5-4",32,"2",0.751859972398531
"5-4",32,"3",0.503191163741674
"5-4",32,"4",0.351864542057934
"5-2",12,"1",0.0709677799638532
"5-2",12,"2",0.0409024529776053
"5-2",12,"3",-0.0300234648287614
"5-2",12,"4",0.090388373840098
"5-2",20,"1",0.790920599025415
"5-2",20,"2",0.644252271936636
"5-2",20,"3",0.929945055285391
"5-2",20,"4",0.691154792659927
"5-2",25,"1",0.732289347892852
"5-2",25,"2",0.674422774359029
"5-2",25,"3",0.944429469560013
"5-2",25,"4",0.818183569505898
"5-2",29,"1",0.903937068778937
"5-2",29,"2",0.783826750390249
"5-2",29,"3",0.921809936046386
"5-2",29,"4",0.927779423589424
"5-2",31,"1",0.903700273376978
"5-2",31,"2",0.832269381820304
"5-2",31,"3",0.871676747237799
"5-2",31,"4",0.883962037170888
"5-2",32,"1",0.798195899083277
"5-2",32,"2",0.844700469707462
"5-2",32,"3",0.807662955573569
"5-2",32,"4",0.711731413611717
"5-1",12,"1",0.144737371202146
"5-1",12,"2",0.10099117458342
"5-1",12,"3",0.153656660454716
"5-1",12,"4",0.124411958881952
"5-1",20,"1",0.340428940517596
"5-1",20,"2",0.794180242626365
"5-1",20,"3",0.988885800401424
"5-1",20,"4",0.874980896520962
"5-1",25,"1",0.762524758194852
"5-1",25,"2",0.633150618615373
"5-1",25,"3",0.859415507574081
"5-1",25,"4",0.860412285271149
"5-1",29,"1",0.765983789406751
"5-1",29,"2",0.919775961404409
"5-1",29,"3",0.738237674633435
"5-1",29,"4",0.883920016482875
"5-1",31,"1",0.668596909427524
"5-1",31,"2",0.93716886993238
"5-1",31,"3",0.727544845383376
"5-1",31,"4",0.867586189422994
"5-1",32,"1",0.795107348332392
"5-1",32,"2",0.667507795758622
"5-1",32,"3",0.734788994469876
"5-1",32,"4",0.711701213431273
"L1-4",12,"1",0.271070263173537
"L1-4",12,"2",0.227158808198964
"L1-4",12,"3",0.256159145707542
"L1-4",12,"4",0.320407765450856
