id,sample,period,temp,nitrate,rep,model,Var2,r,K,s,NA,tiempo en dias desde el inicio del exp,,,numero de GR,
31 5 2 64,31 5 2,61,31,5,2,mexp.22,Estimate,0.403050921,NA,-17.18332135,NA,183,,,,
31 5 2 65,31 5 2,62,31,5,2,mexp.22,Estimate,0.455399873,NA,-15.11758688,NA,186,,,,
31 5 2 66,31 5 2,63,31,5,2,mexp.22,Estimate,0.375548352,NA,-17.89082602,NA,189,,,,
31 5 2 67,31 5 2,64,31,5,2,mexp.22,Estimate,0.390584029,NA,-5.364773879,NA,192,,,,
31 5 2 68,31 5 2,65,31,5,2,mexp.22,Estimate,0.596964915,NA,-6.681444427,NA,195,,,,
31 5 2 69,31 5 2,66,31,5,2,mexp.22,Estimate,0.274387024,NA,-4.41196389,NA,198,,,,
31 5 2 7,31 5 2,67,31,5,2,mexp.22,Estimate,0.505588681,NA,-6.18297441,NA,201,,,,
31 5 2 70,31 5 2,68,31,5,2,mexp.22,Estimate,1.206552861,NA,-7.222064646,NA,204,,,,
31 5 2 71,31 5 2,69,31,5,2,mexp.22,Estimate,0.59462655,NA,-4.622953951,NA,207,,,,
31 5 2 72,31 5 2,70,31,5,2,mexp.22,Estimate,1.268331019,NA,-5.877290634,NA,210,,,,
31 5 2 73,31 5 2,71,31,5,2,mexp.22,Estimate,0.642573397,NA,-5.222326116,NA,213,,,,
31 5 2 74,31 5 2,72,31,5,2,mexp.22,Estimate,0.655363386,NA,-5.541042656,NA,216,,,,
31 5 2 75,31 5 2,73,31,5,2,mexp.22,Estimate,0.41742475,NA,-9.012386139,NA,219,,,,
31 5 2 76,31 5 2,74,31,5,2,mexp.22,Estimate,0.600269386,NA,-7.082553506,NA,222,,,,
31 5 2 77,31 5 2,75,31,5,2,mexp.22,Estimate,0.475621861,NA,-17.16507615,NA,225,,,,
31 5 2 78,31 5 2,76,31,5,2,mexp.22,Estimate,0.580263434,NA,-5.016243489,NA,228,,,,
31 5 2 79,31 5 2,77,31,5,2,mexp.22,Estimate,0.816633011,NA,-6.690354958,NA,231,,,,
31 5 2 8,31 5 2,78,31,5,2,mexp.22,Estimate,0.927037465,NA,-7.049490751,NA,234,,,,
31 5 2 80,31 5 2,79,31,5,2,mexp.22,Estimate,0.636069805,NA,-6.670483153,NA,237,,,,
31 5 2 81,31 5 2,80,31,5,2,mexp.22,Estimate,0.454339313,NA,-5.39274758,NA,240,,,,
31 5 2 82,31 5 2,81,31,5,2,mexp.22,Estimate,1.932333719,NA,-7.048419825,NA,243,,,,
31 5 2 83,31 5 2,82,31,5,2,mexp.22,Estimate,1.752343968,NA,-6.195006171,NA,246,,,,
31 5 2 84,31 5 2,83,31,5,2,mexp.22,Estimate,0.502546811,NA,-5.48002322,NA,249,,,,
31 5 2 9,31 5 2,84,31,5,2,mexp.22,Estimate,0.559517822,NA,-5.834983504,NA,252,,,,
31 5 3 1,31 5 3,1,31,5,3,mexp.22,Estimate,1.14109835,NA,-7.761015933,NA,3,,,,
31 5 3 10,31 5 3,2,31,5,3,mexp.22,Estimate,0.824321649,NA,-6.157890154,NA,6,,,,
31 5 3 11,31 5 3,3,31,5,3,mexp.22,Estimate,1.195382549,NA,-5.750059877,NA,9,,,,
31 5 3 12,31 5 3,4,31,5,3,mexp.22,Estimate,0.620308554,NA,-16.14347349,NA,12,,,,
