sample;date;strain;temperature;nitrate;rep.well;Abs;comments;
Chsim_08/04/2016 8:30:00_5-3_34_L1;04/08/2016 08:30;5-3;34;L1;2;0.043;;
Chsim_08/04/2016 8:30:00_5-4_34_L1;04/08/2016 08:30;5-4;34;L1;2;0.1;;
Chsim_09/04/2016 11:00:00_Collection_34_L1;04/9/2016 11:00;Collection;34;L1;1;0.051;;
Chsim_09/04/2016 11:00:00_L1-1_34_L1;04/9/2016 11:00;L1-1;34;L1;1;0.098;;
Chsim_09/04/2016 11:00:00_L1-3_34_L1;04/9/2016 11:00;L1-3;34;L1;1;0.177;;
Chsim_09/04/2016 11:00:00_L1-4_34_L1;04/9/2016 11:00;L1-4;34;L1;1;0.046;;
Chsim_09/04/2016 11:00:00_5-1_34_L1;04/9/2016 11:00;5-1;34;L1;1;0.061;;
Chsim_09/04/2016 11:00:00_5-2_34_L1;04/9/2016 11:00;5-2;34;L1;1;0.025;;
Chsim_09/04/2016 11:00:00_5-3_34_L1;04/9/2016 11:00;5-3;34;L1;1;0.024;;
Chsim_09/04/2016 11:00:00_5-4_34_L1;04/9/2016 11:00;5-4;34;L1;1;0.068;;
Chsim_09/04/2016 11:00:00_Collection_34_L1;04/9/2016 11:00;Collection;34;L1;2;0.066;;
Chsim_09/04/2016 11:00:00_L1-1_34_L1;04/9/2016 11:00;L1-1;34;L1;2;0.125;;
Chsim_09/04/2016 11:00:00_L1-3_34_L1;04/9/2016 11:00;L1-3;34;L1;2;0.108;;
Chsim_09/04/2016 11:00:00_5-1_34_L1;04/9/2016 11:00;5-1;34;L1;2;0.016;;
Chsim_09/04/2016 11:00:00_5-3_34_L1;04/9/2016 11:00;5-3;34;L1;2;0.05;;
Chsim_09/04/2016 11:00:00_5-4_34_L1;04/9/2016 11:00;5-4;34;L1;2;0.1;;
Chsim_10/04/2016 11:00:00_Collection_34_L1;04/10/2016 11:00;Collection;34;L1;1;0.061;;
Chsim_10/04/2016 11:00:00_5-1_34_L1;04/10/2016 11:00;5-1;34;L1;1;0.059;;
Chsim_10/04/2016 11:00:00_5-2_34_L1;04/10/2016 11:00;5-2;34;L1;1;0.026;;
Chsim_10/04/2016 11:00:00_5-3_34_L1;04/10/2016 11:00;5-3;34;L1;1;0.025;;
Chsim_10/04/2016 11:00:00_5-4_34_L1;04/10/2016 11:00;5-4;34;L1;1;0.069;;
Chsim_10/04/2016 11:00:00_Collection_34_L1;04/10/2016 11:00;Collection;34;L1;2;0.067;;
Chsim_10/04/2016 11:00:00_L1-1_34_L1;04/10/2016 11:00;L1-1;34;L1;2;0.162;;
Chsim_10/04/2016 11:00:00_L1-3_34_L1;04/10/2016 11:00;L1-3;34;L1;2;0.13;;
Chsim_10/04/2016 11:00:00_5-1_34_L1;04/10/2016 11:00;5-1;34;L1;2;0.021;;
Chsim_10/04/2016 11:00:00_5-2_34_L1;04/10/2016 11:00;5-2;34;L1;2;0.064;;
Chsim_10/04/2016 11:00:00_5-3_34_L1;04/10/2016 11:00;5-3;34;L1;2;0.049;;
Chsim_10/04/2016 11:00:00_5-4_34_L1;04/10/2016 11:00;5-4;34;L1;2;0.103;;
Chsim_11/04/2016 9:00:00_Collection_34_L1;04/11/2016 09:00;Collection;34;L1;1;0.05;;
Chsim_11/04/2016 9:00:00_5-1_34_L1;04/11/2016 09:00;5-1;34;L1;1;0.053;;
Chsim_11/04/2016 9:00:00_5-2_34_L1;04/11/2016 09:00;5-2;34;L1;1;0.023;;
Chsim_11/04/2016 9:00:00_5-3_34_L1;04/11/2016 09:00;5-3;34;L1;1;0.017;;
Chsim_11/04/2016 9:00:00_5-4_34_L1;04/11/2016 09:00;5-4;34;L1;1;0.064;;
Chsim_11/04/2016 9:00:00_Collection_34_L1;04/11/2016 09:00;Collection;34;L1;2;0.06;;
Chsim_11/04/2016 9:00:00_5-1_34_L1;04/11/2016 09:00;5-1;34;L1;2;0.014;;
Chsim_11/04/2016 9:00:00_5-2_34_L1;04/11/2016 09:00;5-2;34;L1;2;0.057;;
